Date : 2022-07-07 17:45:01
Directory : c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib
Total : 218 files,  27428 codes, 2108 comments, 3206 blanks, all 32742 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| core\notifiers\notifiers\actions                                                                                                                    |          2 |         94 |          6 |         22 |        122 |
| core\notifiers\notifiers\api                                                                                                                        |          3 |         93 |         32 |         29 |        154 |
| core\notifiers\notifiers\checks                                                                                                                     |          7 |        904 |        317 |        231 |      1,452 |
| core\notifiers\notifiers\general                                                                                                                    |          6 |        616 |        167 |        146 |        929 |
| core\services                                                                                                                                       |          2 |        405 |         24 |         63 |        492 |
| meta                                                                                                                                                |        103 |     15,867 |      1,014 |      1,634 |     18,515 |
| meta\utils                                                                                                                                          |         17 |      1,349 |        326 |        313 |      1,988 |
| meta\utils\bin                                                                                                                                      |         11 |        959 |        287 |        244 |      1,490 |
| meta\utils\bin\project_pre_configs                                                                                                                  |          2 |        184 |         73 |         42 |        299 |
| meta\utils\bin\tools                                                                                                                                |          6 |        376 |        110 |        101 |        587 |
| meta\utils\bin\utils                                                                                                                                |          3 |        399 |        104 |        101 |        604 |
| meta\views                                                                                                                                          |         86 |     14,518 |        688 |      1,321 |     16,527 |
| meta\views\dialogs                                                                                                                                  |          6 |        639 |         31 |         60 |        730 |
| meta\views\dialogs\notifications                                                                                                                    |          2 |        187 |          8 |         14 |        209 |
| meta\views\setup                                                                                                                                    |         14 |      1,410 |         51 |         94 |      1,555 |
| meta\views\setup\components                                                                                                                         |          7 |        308 |         16 |         30 |        354 |
| meta\views\setup\screens                                                                                                                            |          1 |        329 |         15 |         26 |        370 |
| meta\views\setup\sections                                                                                                                           |          6 |        773 |         20 |         38 |        831 |
| meta\views\tabs                                                                                                                                     |         32 |      6,444 |        338 |        596 |      7,378 |
| meta\views\tabs\components                                                                                                                          |          3 |        582 |         43 |         69 |        694 |
| meta\views\tabs\search                                                                                                                              |          4 |        828 |         32 |         60 |        920 |
| meta\views\tabs\search\elements                                                                                                                     |          3 |        273 |          7 |         19 |        299 |
| meta\views\tabs\sections                                                                                                                            |         24 |      4,742 |        253 |        444 |      5,439 |
| meta\views\tabs\sections\home                                                                                                                       |         10 |      1,806 |         51 |        182 |      2,039 |
| meta\views\tabs\sections\home\elements                                                                                                              |          3 |        461 |          7 |         45 |        513 |
| meta\views\tabs\sections\home\version_tiles                                                                                                         |          6 |      1,297 |         42 |        133 |      1,472 |
| meta\views\tabs\sections\projects                                                                                                                   |          6 |      1,153 |         88 |        118 |      1,359 |
| meta\views\tabs\sections\projects\dialogs                                                                                                           |          2 |        322 |          9 |         27 |        358 |
| meta\views\tabs\sections\projects\elements                                                                                                          |          2 |        221 |          4 |         13 |        238 |
| meta\views\tabs\sections\projects\models                                                                                                            |          1 |        190 |         54 |         45 |        289 |
| meta\views\tabs\sections\pub                                                                                                                        |          5 |      1,115 |         71 |         91 |      1,277 |
| meta\views\tabs\sections\pub\dialogs                                                                                                                |          1 |        329 |         12 |         14 |        355 |
| meta\views\tabs\sections\pub\elements                                                                                                               |          2 |        412 |         14 |         21 |        447 |
| meta\views\tabs\sections\pub\models                                                                                                                 |          1 |        155 |         23 |         38 |        216 |
| meta\views\tabs\sections\workflows                                                                                                                  |          3 |        668 |         43 |         53 |        764 |
| meta\views\tabs\sections\workflows\elements                                                                                                         |          1 |        287 |          6 |         12 |        305 |
| meta\views\tabs\sections\workflows\models                                                                                                           |          1 |         81 |         28 |         17 |        126 |
| meta\views\workflows                                                                                                                                |         34 |      6,025 |        268 |        571 |      6,864 |
| meta\views\workflows\action_settings                                                                                                                |          8 |        832 |         22 |         60 |        914 |
| meta\views\workflows\components                                                                                                                     |          3 |        233 |          8 |         19 |        260 |
| meta\views\workflows\models                                                                                                                         |          1 |        161 |         33 |         11 |        205 |
| meta\views\workflows\runner                                                                                                                         |         10 |      1,230 |         69 |        142 |      1,441 |
| meta\views\workflows\runner\elements                                                                                                                |          3 |        505 |         42 |         65 |        612 |
| meta\views\workflows\runner\models                                                                                                                  |          1 |         21 |          2 |          5 |         28 |
| meta\views\workflows\runner\status                                                                                                                  |          4 |        369 |         13 |         25 |        407 |
| meta\views\workflows\sections                                                                                                                       |          5 |      1,556 |         47 |        136 |      1,739 |
| meta\views\workflows\views                                                                                                                          |          5 |      1,178 |         25 |        113 |      1,316 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                            | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\app\constants.dart                                                           | Dart     |         85 |         36 |         23 |        144 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\app\enum.dart                                                                | Dart     |         33 |          8 |         13 |         54 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\app\shared_pref.dart                                                         | Dart     |         43 |         13 |         13 |         69 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\about\about_us.dart                              | Dart     |         31 |          2 |          4 |         37 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\about\sections\about.dart                        | Dart     |         49 |          2 |          4 |         55 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\about\sections\changelog.dart                    | Dart     |        126 |          8 |         24 |        158 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\about\sections\contributors.dart                 | Dart     |        173 |          8 |         19 |        200 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\about\sections\report.dart                       | Dart     |         39 |          3 |          6 |         48 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\dialog_header.dart                               | Dart     |         62 |          2 |          5 |         69 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\flutter\change_channel.dart                      | Dart     |        183 |          7 |         23 |        213 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\flutter\flutter_doctor.dart                      | Dart     |        129 |          5 |         18 |        152 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\flutter\flutter_requirements.dart                | Dart     |        149 |          7 |          9 |        165 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\flutter\flutter_upgrade.dart                     | Dart     |        170 |         10 |         30 |        210 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\fun\type_result.dart                             | Dart     |         93 |          2 |          5 |        100 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\fun\type_test.dart                               | Dart     |        512 |         18 |         25 |        555 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\logs\build_logs.dart                             | Dart     |        227 |         18 |         42 |        287 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\logs\debug_logs_view.dart                        | Dart     |         99 |          3 |         10 |        112 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\other\clear_cache.dart                           | Dart     |         83 |          4 |         12 |         99 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\other\install_tool.dart                          | Dart     |        165 |          3 |         25 |        193 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\other\reset_fluttermatic.dart                    | Dart     |        153 |          8 |         28 |        189 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\other\status.dart                                | Dart     |        200 |          8 |         10 |        218 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\other\unofficial_release.dart                    | Dart     |         73 |          4 |          6 |         83 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\add_dependencies.dart             | Dart     |         20 |          1 |          3 |         24 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\common\dependencies.dart          | Dart     |        427 |         10 |         54 |        491 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\common\name.dart                  | Dart     |        173 |         10 |         11 |        194 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\created.dart                      | Dart     |         68 |          2 |          5 |         75 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\dart\new_dart.dart                | Dart     |        260 |         16 |         40 |        316 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\dart\sections\template.dart       | Dart     |         53 |          2 |          9 |         64 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\flutter\new_flutter.dart          | Dart     |        457 |         29 |         51 |        537 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\flutter\sections\description.dart | Dart     |         52 |          2 |          6 |         60 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\flutter\sections\org_name.dart    | Dart     |        125 |         12 |         10 |        147 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\flutter\sections\platforms.dart   | Dart     |        195 |          2 |          8 |        205 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create\flutter\sections\pre_config.dart  | Dart     |        580 |         17 |         42 |        639 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\create_select.dart                       | Dart     |         70 |          3 |          5 |         78 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\edit_existing.dart                       | Dart     |        303 |         16 |         33 |        352 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\project\outdated_dependencies.dart               | Dart     |        292 |         40 |         46 |        378 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\discover.dart                  | Dart     |         94 |          3 |          5 |        102 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\editors.dart                   | Dart     |        133 |          3 |         10 |        146 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\github.dart                    | Dart     |        110 |          3 |          5 |        118 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\overview.dart                  | Dart     |        117 |          2 |          6 |        125 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\projects.dart                  | Dart     |        187 |          4 |         13 |        204 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\troubleshoot.dart              | Dart     |        201 |          4 |         12 |        217 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\sections\updates.dart                   | Dart     |        118 |          3 |          5 |        126 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\dialog_templates\settings\settings.dart                           | Dart     |         68 |          2 |          7 |         77 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\buttons\action_options.dart                               | Dart     |         86 |          4 |          8 |         98 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\buttons\close_button.dart                                 | Dart     |         28 |          2 |          5 |         35 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\buttons\rectangle_button.dart                             | Dart     |         74 |          2 |         11 |         87 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\buttons\select_tiles.dart                                 | Dart     |        101 |          4 |          9 |        114 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\buttons\square_button.dart                                | Dart     |         57 |          2 |          5 |         64 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\inputs\check_box_element.dart                             | Dart     |         42 |          1 |          4 |         47 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\inputs\text_field.dart                                    | Dart     |         97 |          3 |          7 |        107 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\bullet_point.dart                                      | Dart     |         32 |          1 |          4 |         37 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\coming_soon.dart                                       | Dart     |         45 |          2 |          7 |         54 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\dialog_template.dart                                   | Dart     |         69 |          2 |          5 |         76 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\info_widget.dart                                       | Dart     |         19 |          2 |          3 |         24 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\information_widget.dart                                | Dart     |         64 |          3 |          6 |         73 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\installation_status.dart                               | Dart     |         83 |          3 |          7 |         93 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\linear_progress_indicator.dart                         | Dart     |         37 |          2 |          5 |         44 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\load_activity_msg.dart                                 | Dart     |         35 |          2 |          5 |         42 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\markdown_view.dart                                     | Dart     |         86 |          3 |          6 |         95 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\round_container.dart                                   | Dart     |         47 |          2 |          5 |         54 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\shimmer.dart                                           | Dart     |        198 |         43 |         26 |        267 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\snackbar_tile.dart                                     | Dart     |         64 |          3 |          6 |         73 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\spinner.dart                                           | Dart     |         21 |          1 |          4 |         26 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\stage_tile.dart                                        | Dart     |        167 |          3 |         16 |        186 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\stress_relief.dart                                     | Dart     |         46 |          4 |          4 |         54 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\components\widgets\ui\tab_view.dart                                          | Dart     |        140 |          2 |         15 |        157 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\models\flutter_sdk.dart                                                 | Dart     |          7 |          0 |          3 |         10 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\models\fluttermatic.dart                                                | Dart     |          7 |          0 |          3 |         10 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\models\git.dart                                                         | Dart     |          7 |          0 |          3 |         10 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\models\progress.dart                                                    | Dart     |          5 |          0 |          2 |          7 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\models\projects.dart                                                    | Dart     |         32 |          2 |          4 |         38 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\models\vscode.dart                                                      | Dart     |          9 |          0 |          3 |         12 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\payloads\actions\dart.dart                             | Dart     |         17 |          2 |          3 |         22 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\payloads\actions\flutter.dart                          | Dart     |         41 |          2 |          3 |         46 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\payloads\general\notifications.dart                    | Dart     |         14 |          0 |          2 |         16 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\actions\dart.dart                                | Dart     |         14 |          0 |          4 |         18 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\actions\flutter.dart                             | Dart     |         14 |          0 |          4 |         18 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\api\flutter_sdk.dart                             | Dart     |         19 |          0 |          5 |         24 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\api\fm_api.dart                                  | Dart     |         15 |          0 |          5 |         20 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\api\vscode_api.dart                              | Dart     |         23 |          0 |          5 |         28 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\adb.dart                                  | Dart     |         15 |          0 |          5 |         20 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\android_studio.dart                       | Dart     |         24 |          0 |          5 |         29 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\check.dart                                | Dart     |          0 |         61 |         11 |         72 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\flutter.dart                              | Dart     |         24 |          0 |          5 |         29 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\git.dart                                  | Dart     |         24 |          0 |          5 |         29 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\java.dart                                 | Dart     |         24 |          0 |          5 |         29 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\checks\vsc.dart                                  | Dart     |         24 |          0 |          5 |         29 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\general\connection.dart                          | Dart     |         12 |          0 |          4 |         16 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\general\download.dart                            | Dart     |         23 |          0 |          5 |         28 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\general\notifications.dart                       | Dart     |         15 |          0 |          5 |         20 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\general\space.dart                               | Dart     |         30 |          0 |          4 |         34 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\models\state\general\theme.dart                               | Dart     |         18 |          0 |          4 |         22 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\actions\dart.dart                                   | Dart     |         39 |          2 |          9 |         50 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\actions\flutter.dart                                | Dart     |         55 |          4 |         13 |         72 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\api\flutter_sdk.dart                                | Dart     |         29 |          9 |          8 |         46 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\api\fluttermatic.dart                               | Dart     |         23 |         11 |          8 |         42 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\api\vscode.dart                                     | Dart     |         41 |         12 |         13 |         66 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\adb.dart                                     | Dart     |         56 |          8 |         17 |         81 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\check_services.dart                          | Dart     |          0 |        230 |         33 |        263 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\flutter.dart                                 | Dart     |        133 |         22 |         35 |        190 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\git.dart                                     | Dart     |        135 |         13 |         28 |        176 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\java.dart                                    | Dart     |        197 |         17 |         47 |        261 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\studio.dart                                  | Dart     |        249 |         17 |         42 |        308 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\checks\vsc.dart                                     | Dart     |        134 |         10 |         29 |        173 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\general\connection.dart                             | Dart     |         76 |         17 |         16 |        109 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\general\download.dart                               | Dart     |        121 |         25 |         34 |        180 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\general\file.dart                                   | Dart     |        212 |         79 |         37 |        328 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\general\notifications.dart                          | Dart     |         44 |         16 |         14 |         74 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\general\space.dart                                  | Dart     |        114 |         24 |         30 |        168 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\notifiers\general\theme.dart                                  | Dart     |         49 |          6 |         15 |         70 |
